,plateifu,M*,sigma,min,mout,ext,hsig
288,8087-6102,11.294774485486247,2.356025,10.980356745185432,10.782275785870997,-1.0,1.0
289,8087-9101,11.328308900651997,2.3086562,11.126754079587496,10.543747401405252,1.0,1.0
290,8091-3701,11.406037620270821,2.4146025,11.153806346237781,10.729972360804096,1.0,-1.0
291,8091-9102,11.525086712448914,2.4263248,11.224837801079616,10.904232870776681,1.0,-1.0
292,8092-12701,11.327226411838103,2.326043,10.974474718710855,10.815382588888554,-1.0,1.0
293,8092-6104,11.34234819692344,2.364394,11.098203014450199,10.687762515049668,0.0,0.0
294,8092-9102,11.657665630174348,2.4352038,11.154748766784296,11.308987160559465,-1.0,0.0
295,8093-6101,11.398313468387162,2.4321978,11.144698814250962,10.752044526884422,1.0,-1.0
296,8095-6101,11.442175898474414,2.4494836,11.086303479476188,10.99320792358433,-1.0,-1.0
297,8095-6104,11.271623200346077,2.291775,11.100556634486436,10.348098156377906,1.0,1.0
298,8095-9102,11.734123590324208,2.4251885,11.336114994296468,11.33059909107215,0.0,0.0
299,8131-12702,11.39668364093736,2.4219353,11.081242453858643,10.834289571008954,-1.0,-1.0
300,8131-6102,11.39505254109264,2.4308035,11.163478040444215,10.716285738770537,1.0,-1.0
301,8131-6103,11.719705726155011,2.412481,11.24457959999729,11.368133002049333,-1.0,1.0
302,8132-6103,11.516631615639314,2.3693767,11.157774033986025,11.041714429377361,-1.0,1.0
303,8132-9102,11.41064042435758,2.3740573,10.928501145365379,11.065930115714819,0.0,1.0
304,8133-3702,11.4534526354775,2.38656,11.174138229331911,10.844400359310265,1.0,0.0
305,8135-6102,11.434640376528446,2.312753,11.13031601252334,10.85207733607799,0.0,1.0
306,8135-9101,11.491895129501918,2.371268,11.088492172486829,11.080545752790535,-1.0,1.0
307,8137-6101,11.357220266652151,2.3748982,11.070819523040118,10.753091440592593,0.0,0.0
308,8137-6102,11.384705070441925,2.375602,11.179463936334972,10.645947969251875,1.0,0.0
309,8137-6103,11.31858603022173,2.353316,11.16872989070146,10.355842348616047,0.0,0.0
310,8137-6104,11.601409950138322,2.3329728,11.161827660520729,11.058730712701161,-1.0,1.0
311,8137-9101,11.578006694937237,2.3842025,11.163203111016056,11.174861096023385,-1.0,1.0
312,8138-12704,11.252157939281625,2.1865902,11.040656881768106,10.399880277734631,1.0,0.0
313,8139-9102,11.228905872686386,2.3109996,11.075510427464057,10.244112244288104,1.0,0.0
314,8141-6101,11.232185282892619,2.3303041,11.074327412837944,10.316555594554968,1.0,0.0
315,8141-9101,11.235982535918723,2.2733283,10.97731951084082,10.578432336365745,-1.0,1.0
316,8143-12701,11.4270882745197,2.337505,10.995951810415866,11.053772449870586,-1.0,1.0
317,8146-12704,11.306459901845358,2.4141154,10.95041196408347,10.79760347594436,-1.0,-1.0
318,8148-12702,11.3754841126734,2.4261189,11.078133252386621,10.803916522565329,-1.0,-1.0
319,8149-12705,11.247329135171583,2.3287106,10.971539565171467,10.645941626454581,-1.0,1.0
320,8153-6104,11.239253521187797,2.401542,10.997027534507513,10.60955028636452,-1.0,-1.0
321,8154-3702,11.42592044028246,2.4663055,11.202904290715349,10.72461098821191,1.0,-1.0
322,8156-3704,11.518346072243958,2.4607062,11.211338471364337,10.97423738784334,0.0,-1.0
323,8156-9101,11.354950272015762,2.3322146,10.946851924696205,10.838321098949875,-1.0,1.0
324,8157-6101,11.253880922070257,2.3463233,11.025832738040831,10.57348145038966,0.0,0.0
325,8158-12704,11.477678279915226,2.427835,11.198606341637293,10.874014601045925,1.0,-1.0
